iran ahmad morshedloo s images of people global voices.	ايران احمد مورشيدلو وتصويره للناس الاصوات العالمية
gamal eid gamaleid april.	الارض مصرية خد رزك وياك واترك لي وطني جمعه الارض
I have a pen.	لدي قلم.
What happened here?	ما الذي حدث هنا؟
syrian drama series and movies have tapped into ready made locations of destroyed neighborhoods resulting from government shelling that leveled entire neighborhoods saving them a fortune in set design films such as rain of homs directed by joud said and the revolution man by najdat anzour have been criticized for polishing the regime s actions.	اما المسلسلات الدرامية والافلام السورية فقد استفادت من المواقع الجاهزة للتصوير من احياء وشوارع دمرها قصف النظام الذي سوى احياء كاملة بالتراب موفرة بذلك من ميزانياتها لبناء مواقع تصوير مشابهة ومن هذه الافلام مطر حمص للمخرج جود سعيد وفيلم نجدت انزور رجل الثورة والتي انتقدت لانها تلمع صورة النظام وافعاله
May I go to the river?	أيمكنني الذهاب إلى النهر؟
marujatarre the man dies and the legend begins that is inevitable.	يموت الرجل وتستمر الاسطورة من المتعذر تجنب هذا
Everyone noticed.	تم إشعار الجميع.
not just subsistence farming.	ليست الزراعة عملا من اجل العيش فحسب
i travel to live dream feel and discover different worlds every trip is an adventure and with it a new responsibility knowledge happy.	اسافر لاعيش لاحلم لاشعر واستكشف عوالم مختلفة كل رحلة هى مغامرة ومعها مسيولية جديدة معرفة سعادة
israel lost tribes in japan global voices.	اسراييل قبايل ضايعة في اليابان الاصوات العالمية
iraq is islam the solution global voices.	العراق هل الاسلام هو الحل؟ الاصوات العالمية
We understand.	نحن نفهم
This house is mine.	هذا البيت بيتي.
That is why he got angry.	هذا سبب غضبه.
It's only when I can't sleep at night that the ticking of the clock bothers me.	عندما لا استطيع النوم في الليل الشيء الوحيد الذي يزعجني هو تكتكة الساعة .
Did you accept his invitation?	هل قبلت دعوته؟
nowadays he is my husband.	حاليا هذا الشخص هو زوجي
anonymous attack.	هجوم مجهول؟
Please help me clean the house.	ساعدني في تنظيف البيت من فضلك.
Will he ever come back?	هل سيعود يوماً ما؟
Put it down.	ضعها أرضاً.
We were all present at her wedding.	كلنا حضرنا حفل زفافها.
Without air, nothing could live.	من دون الهواء ، لن يبقى شيء على قيد الحياة.
malaysia petition to teach science math in english global voices.	ماليزيا حملة لتدريس العلوم والرياضيات باللغة الانجليزية الاصوات العالمية
There was a post office on this corner once.	في يوم من الأيام كان هناك مكتب بريدي على هذه الزاوية من الشارع.
several organizations participated in the day to end impunity read posts from mada eff and ifex.	شاركت عدة منظمات في يوم لانهاء الافلات من العقاب يمكنكم قراءة المزيد على مدى موسسة الجبهة الالكترونية وايفكس
